"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","GeoRooted","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"57","1","57","11","11","11","76.0000","9.0000","14.0000","0.0000","25.4558","24.0000","5.0000","21.3073"
"58","1","58","11","11","11","126.0000","9.0000","30.0000","0.0000","40.9878","42.0000","7.0000","32.0000"
"59","1","59","11","11","11","146.0000","9.0000","35.0000","0.0000","43.5431","50.0000","7.0000","34.6987"
"60","1","60","11","11","11","118.0000","9.0000","24.0000","0.0000","36.7423","38.0000","6.0000","29.7658"
"61","1","61","11","11","11","113.0000","9.0000","27.0000","0.0000","39.7240","44.0000","7.0000","30.0998"
"62","1","62","11","11","11","105.0000","9.0000","25.0000","0.0000","37.0405","36.0000","6.0000","28.7402"
"63","1","63","11","11","11","69.0000","8.0000","17.0000","0.0000","30.5614","26.0000","5.0000","22.2711"
"64","1","64","11","11","11","145.0000","9.0000","37.0000","0.0000","44.8553","54.0000","8.0000","34.9285"
"65","1","65","11","11","11","93.0000","8.0000","22.0000","0.0000","34.1174","34.0000","5.0000","25.9230"
"66","1","66","11","11","11","138.0000","9.0000","30.0000","0.0000","40.1497","40.0000","7.0000","32.7414"
"67","1","67","11","11","11","120.0000","9.0000","26.0000","0.0000","37.6032","36.0000","6.0000","30.3974"
"68","1","68","11","11","11","129.0000","9.0000","32.0000","0.0000","41.0853","44.0000","7.0000","32.3728"
"69","1","69","11","11","11","116.0000","9.0000","27.0000","0.0000","40.2989","38.0000","5.0000","31.2090"
"70","1","70","11","11","11","128.0000","9.0000","28.0000","0.0000","39.7240","38.0000","6.0000","32.0936"
"71","1","71","11","11","11","106.0000","8.0000","26.0000","0.0000","36.9594","38.0000","6.0000","28.1780"
"72","1","72","11","11","11","79.0000","9.0000","18.0000","0.0000","29.0517","26.0000","6.0000","22.3607"
"73","1","73","11","11","11","106.0000","9.0000","23.0000","0.0000","36.7967","40.0000","6.0000","28.3901"
"74","1","74","11","11","11","100.0000","9.0000","23.0000","0.0000","36.2215","36.0000","6.0000","27.6043"
