"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric","Quartet","PathDiffernce","RF(0.5)","MatchingSplit","UMAST"
"452","1","452","71","61","61","24478.0000","59.0000","1361.0000","383.4971","652.0000","50.0000","205.7912","353123.0000","407.1314","58.0000","632.0000","48.0000"
"453","1","453","71","61","61","24795.0000","59.0000","1334.0000","349.9114","634.0000","48.0000","205.5091","351050.0000","382.1675","58.0000","610.0000","48.0000"
"454","1","454","71","61","61","24043.0000","58.0000","1352.0000","400.1300","652.0000","50.0000","208.9306","349400.0000","412.1844","57.0000","628.0000","50.0000"
"455","1","455","71","61","61","24720.0000","59.0000","1346.0000","390.3665","668.0000","51.0000","208.7199","358055.0000","411.6576","58.0000","641.0000","49.0000"
"456","1","456","71","61","61","24472.0000","59.0000","1320.0000","389.9000","656.0000","51.0000","208.6049","349200.0000","408.9156","58.0000","633.0000","47.0000"
"457","1","457","71","61","61","24399.0000","59.0000","1371.0000","392.4971","650.0000","50.0000","208.3507","351060.0000","407.8063","57.0000","625.0000","48.0000"
"458","1","458","71","61","61","24903.0000","59.0000","1371.0000","386.3185","654.0000","50.0000","209.5996","355449.0000","403.5517","58.0000","628.0000","48.0000"
"459","1","459","71","61","61","24072.0000","59.0000","1308.0000","354.9451","626.0000","48.0000","202.6721","346770.0000","394.1396","58.0000","598.0000","47.0000"
"460","1","460","71","61","61","24028.0000","59.0000","1351.0000","388.4688","664.0000","50.0000","207.1763","353532.0000","410.5679","58.0000","647.0000","48.0000"
"461","1","461","71","61","61","24278.0000","59.0000","1324.0000","396.9836","662.0000","51.0000","207.7547","350507.0000","414.9602","58.0000","641.0000","48.0000"
"462","1","462","71","61","61","23583.0000","59.0000","1334.0000","375.9840","628.0000","50.0000","202.7363","348550.0000","405.1296","58.0000","613.0000","49.0000"
"463","1","463","71","61","61","23131.0000","59.0000","1297.0000","348.4078","602.0000","50.0000","201.5490","341737.0000","382.5258","58.0000","576.0000","47.0000"
"464","1","464","71","61","61","24073.0000","59.0000","1320.0000","394.6999","650.0000","48.0000","207.7835","349599.0000","413.1005","58.0000","619.0000","47.0000"
"465","1","465","71","61","61","23306.0000","59.0000","1288.0000","385.8653","654.0000","49.0000","205.7377","352891.0000","407.8456","58.0000","632.0000","48.0000"
"466","1","466","71","61","61","24720.0000","59.0000","1350.0000","409.8658","666.0000","50.0000","211.0924","345347.0000","418.4041","58.0000","635.0000","48.0000"
"467","1","467","71","61","61","23795.0000","59.0000","1304.0000","374.9347","628.0000","48.0000","205.3193","347502.0000","393.4743","58.0000","608.0000","47.0000"
"468","1","468","71","61","61","23234.0000","59.0000","1343.0000","370.2540","610.0000","50.0000","200.2598","335259.0000","396.3660","58.0000","589.0000","47.0000"
"469","1","469","71","61","61","24336.0000","59.0000","1355.0000","376.5528","644.0000","50.0000","207.9615","349354.0000","395.5376","58.0000","621.0000","48.0000"
"470","1","470","71","61","61","24097.0000","59.0000","1325.0000","375.9335","626.0000","49.0000","203.3962","342885.0000","398.5825","58.0000","589.0000","46.0000"
"471","1","471","71","61","61","24101.0000","59.0000","1365.0000","379.0435","630.0000","51.0000","202.8053","345767.0000","404.4676","58.0000","616.0000","47.0000"
"472","1","472","71","61","61","22684.0000","59.0000","1292.0000","371.6934","652.0000","48.0000","205.2364","351833.0000","398.5900","58.0000","625.0000","48.0000"
"473","1","473","71","61","61","22663.0000","59.0000","1255.0000","380.9882","622.0000","47.0000","204.8902","343564.0000","398.4746","58.0000","584.0000","46.0000"
"474","1","474","71","61","61","24409.0000","59.0000","1342.0000","366.0847","650.0000","49.0000","204.4065","354116.0000","395.7221","58.0000","624.0000","48.0000"
"475","1","475","71","61","61","23180.0000","59.0000","1352.0000","387.5590","632.0000","47.0000","207.8076","344048.0000","395.7903","58.0000","605.0000","46.0000"
"476","1","476","71","61","61","23841.0000","59.0000","1340.0000","386.5437","646.0000","48.0000","206.8478","352972.0000","408.5707","58.0000","626.0000","48.0000"
"477","1","477","71","61","61","24427.0000","59.0000","1364.0000","403.0881","648.0000","50.0000","208.8923","348288.0000","413.3134","58.0000","622.0000","48.0000"
"478","1","478","71","61","61","24548.0000","58.0000","1358.0000","388.6103","660.0000","50.0000","209.7189","354774.0000","407.7401","57.0000","634.0000","48.0000"
"479","1","479","71","61","61","23917.0000","59.0000","1347.0000","368.7980","630.0000","50.0000","203.3962","346638.0000","398.0402","58.0000","613.0000","49.0000"
"480","1","480","71","61","61","24889.0000","59.0000","1350.0000","374.2058","646.0000","50.0000","208.7247","352916.0000","392.8002","58.0000","627.0000","47.0000"
"481","1","481","71","61","61","24288.0000","59.0000","1333.0000","353.3440","670.0000","49.0000","205.6453","357906.0000","389.5177","58.0000","643.0000","46.0000"
"482","1","482","71","61","61","23751.0000","59.0000","1298.0000","392.0740","658.0000","49.0000","209.3705","354008.0000","410.0512","58.0000","636.0000","48.0000"
"483","1","483","71","61","61","23198.0000","59.0000","1304.0000","387.7396","636.0000","49.0000","205.4994","339674.0000","407.3279","58.0000","601.0000","48.0000"
"484","1","484","71","61","61","24708.0000","59.0000","1347.0000","375.3105","654.0000","50.0000","206.4655","353058.0000","400.6644","58.0000","618.0000","48.0000"
"485","1","485","71","61","61","23391.0000","58.0000","1351.0000","383.6900","646.0000","50.0000","204.2743","353074.0000","409.3312","57.0000","632.0000","49.0000"
"486","1","486","71","61","61","23405.0000","59.0000","1280.0000","373.7807","650.0000","48.0000","206.0728","349879.0000","399.6048","58.0000","619.0000","47.0000"
"487","1","487","71","61","61","24357.0000","59.0000","1348.0000","351.0185","618.0000","51.0000","204.0000","342319.0000","375.6035","58.0000","588.0000","48.0000"
"488","1","488","71","61","61","24147.0000","59.0000","1373.0000","393.7360","660.0000","50.0000","207.9615","350213.0000","412.3275","58.0000","636.0000","48.0000"
"489","1","489","71","61","61","24787.0000","59.0000","1347.0000","369.4537","642.0000","50.0000","206.3444","353758.0000","398.1130","58.0000","625.0000","48.0000"
"490","1","490","71","61","61","23240.0000","59.0000","1341.0000","378.6450","626.0000","49.0000","203.2781","341169.0000","401.8632","58.0000","604.0000","47.0000"
"491","1","491","71","61","61","24276.0000","59.0000","1371.0000","417.2170","654.0000","51.0000","209.3514","350373.0000","423.6862","58.0000","628.0000","49.0000"
"492","1","492","71","61","61","22563.0000","59.0000","1328.0000","376.6139","632.0000","47.0000","204.3575","345160.0000","398.1884","58.0000","603.0000","46.0000"
"493","1","493","71","61","61","25123.0000","59.0000","1350.0000","389.3790","652.0000","49.0000","209.5185","350630.0000","406.9816","58.0000","627.0000","48.0000"
"494","1","494","71","61","61","23931.0000","59.0000","1315.0000","404.5837","672.0000","47.0000","208.0000","351000.0000","420.9964","58.0000","637.0000","47.0000"
"495","1","495","71","61","61","21275.0000","59.0000","1225.0000","349.7656","594.0000","47.0000","195.6783","324283.0000","379.9000","58.0000","555.0000","46.0000"
"496","1","496","71","61","61","24920.0000","59.0000","1361.0000","390.7198","644.0000","50.0000","210.0143","347205.0000","403.5270","58.0000","621.0000","48.0000"
"497","1","497","71","61","61","25296.0000","59.0000","1346.0000","372.3574","650.0000","50.0000","208.3891","353794.0000","395.3859","58.0000","617.0000","48.0000"
"498","1","498","71","61","61","23073.0000","59.0000","1301.0000","400.7144","628.0000","50.0000","208.6049","346613.0000","408.4801","58.0000","604.0000","49.0000"
"499","1","499","71","61","61","24586.0000","59.0000","1363.0000","395.4162","648.0000","49.0000","210.4044","353537.0000","405.9852","58.0000","625.0000","46.0000"
"500","1","500","71","61","61","24006.0000","59.0000","1291.0000","381.8665","636.0000","49.0000","206.7317","342097.0000","397.7084","58.0000","603.0000","47.0000"
"501","1","501","71","61","61","24035.0000","59.0000","1335.0000","382.7271","654.0000","49.0000","205.5529","349431.0000","404.3934","57.0000","625.0000","47.0000"
"502","1","502","71","61","61","24363.0000","59.0000","1310.0000","367.4343","640.0000","49.0000","205.1292","346092.0000","393.2836","58.0000","602.0000","48.0000"
"503","1","503","71","61","61","22423.0000","59.0000","1338.0000","373.9652","588.0000","49.0000","195.6528","322218.0000","396.2651","58.0000","578.0000","47.0000"
"504","1","504","71","61","61","23959.0000","59.0000","1355.0000","359.9139","618.0000","49.0000","202.0099","346282.0000","393.8375","58.0000","605.0000","48.0000"
"505","1","505","71","61","61","24914.0000","59.0000","1354.0000","396.8476","640.0000","50.0000","209.0407","349140.0000","404.5961","58.0000","622.0000","47.0000"
"506","1","506","71","61","61","23575.0000","59.0000","1372.0000","386.6342","642.0000","51.0000","205.4897","340074.0000","401.3677","58.0000","613.0000","49.0000"
"507","1","507","71","61","61","23617.0000","59.0000","1354.0000","383.7265","632.0000","50.0000","204.0098","349951.0000","408.2744","58.0000","622.0000","49.0000"
"508","1","508","71","61","61","24285.0000","59.0000","1362.0000","392.1505","672.0000","51.0000","207.5090","356132.0000","414.7553","58.0000","649.0000","49.0000"
"509","1","509","71","61","61","24191.0000","59.0000","1334.0000","367.8668","634.0000","50.0000","205.8689","352547.0000","395.2670","58.0000","605.0000","48.0000"
"510","1","510","71","61","61","23959.0000","59.0000","1349.0000","385.4815","648.0000","48.0000","207.8605","353085.0000","408.0564","58.0000","635.0000","48.0000"
"511","1","511","71","61","61","24323.0000","59.0000","1349.0000","362.9876","628.0000","49.0000","203.8136","346184.0000","395.1860","58.0000","601.0000","47.0000"
"512","1","512","71","61","61","24507.0000","59.0000","1346.0000","377.4891","640.0000","49.0000","208.8732","352223.0000","396.8476","58.0000","619.0000","47.0000"
"513","1","513","71","61","61","24278.0000","59.0000","1358.0000","378.3464","662.0000","50.0000","205.7814","357942.0000","406.0074","58.0000","647.0000","49.0000"
"514","1","514","71","61","61","24051.0000","59.0000","1340.0000","379.8368","648.0000","50.0000","206.7656","348444.0000","400.3099","58.0000","622.0000","49.0000"
"515","1","515","71","61","61","23691.0000","59.0000","1322.0000","385.0065","614.0000","50.0000","205.4897","346196.0000","400.1050","58.0000","589.0000","49.0000"
"516","1","516","71","61","61","24351.0000","59.0000","1346.0000","380.1263","628.0000","49.0000","204.1274","349626.0000","405.9138","58.0000","610.0000","48.0000"
"517","1","517","71","61","61","24515.0000","59.0000","1301.0000","389.4406","646.0000","51.0000","209.5758","350805.0000","404.2821","58.0000","619.0000","48.0000"
"518","1","518","71","61","61","23461.0000","58.0000","1297.0000","389.9333","638.0000","49.0000","205.5724","342370.0000","405.7980","58.0000","609.0000","49.0000"
"519","1","519","71","61","61","24811.0000","59.0000","1373.0000","399.1316","638.0000","50.0000","208.4562","345823.0000","410.9574","58.0000","613.0000","48.0000"
"520","1","520","71","61","61","23874.0000","59.0000","1327.0000","390.8222","654.0000","50.0000","208.1586","339912.0000","404.8185","58.0000","629.0000","49.0000"
"521","1","521","71","61","61","22960.0000","59.0000","1301.0000","364.5929","574.0000","48.0000","201.7375","337523.0000","379.2677","58.0000","556.0000","47.0000"
"522","1","522","71","61","61","23684.0000","59.0000","1329.0000","386.8462","620.0000","50.0000","206.8381","328419.0000","398.9662","58.0000","588.0000","47.0000"
"523","1","523","71","61","61","24087.0000","58.0000","1324.0000","373.6522","636.0000","49.0000","206.7365","344195.0000","392.9300","57.0000","611.0000","48.0000"
"524","1","524","71","61","61","24442.0000","59.0000","1347.0000","365.8907","634.0000","51.0000","202.2226","347433.0000","399.4822","58.0000","610.0000","49.0000"
"525","1","525","71","61","61","24173.0000","59.0000","1360.0000","357.2842","630.0000","49.0000","202.1485","347443.0000","391.4563","58.0000","617.0000","48.0000"
