"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"194","1","194","27","27","27","640.0000","11.0000","100.0000","35.5809","30.0000","6.0000","20.6882"
"195","1","195","27","27","27","1315.0000","16.0000","127.0000","63.7024","66.0000","6.0000","42.8836"
"196","1","196","27","27","27","160.0000","8.0000","57.0000","24.2487","21.0000","6.0000","13.0384"
"197","1","197","27","27","27","586.0000","10.0000","83.0000","34.7275","27.0000","6.0000","21.6102"
"198","1","198","27","27","27","724.0000","12.0000","83.0000","37.4166","36.0000","6.0000","26.1534"
"199","1","199","27","27","27","1312.0000","15.0000","127.0000","60.0000","63.0000","6.0000","41.2674"
"200","1","200","27","27","27","673.0000","14.0000","100.0000","41.2068","39.0000","6.0000","25.9037"
"201","1","201","27","27","27","124.0000","11.0000","38.0000","37.7094","30.0000","6.0000","20.6155"
"202","1","202","27","27","27","1330.0000","20.0000","127.0000","69.0652","72.0000","6.0000","45.6180"
"203","1","203","27","27","27","766.0000","16.0000","100.0000","49.1732","48.0000","6.0000","32.2955"
"204","1","204","27","27","27","184.0000","10.0000","55.0000","27.1662","27.0000","6.0000","16.4012"
"205","1","205","27","27","27","763.0000","15.0000","100.0000","44.7661","45.0000","6.0000","30.6757"
"206","1","206","27","27","27","703.0000","12.0000","83.0000","36.5787","33.0000","6.0000","24.7790"
"207","1","207","27","27","27","175.0000","10.0000","55.0000","21.9089","27.0000","6.0000","13.9284"
"208","1","208","27","27","27","586.0000","10.0000","83.0000","34.7275","27.0000","6.0000","21.6102"
"209","1","209","27","27","27","184.0000","12.0000","55.0000","29.2916","33.0000","6.0000","17.8045"
"210","1","210","27","27","27","1294.0000","15.0000","127.0000","52.8205","57.0000","6.0000","37.0135"
"211","1","211","27","27","27","775.0000","13.0000","100.0000","38.3667","42.0000","6.0000","26.8328"
"212","1","212","27","27","27","1330.0000","20.0000","127.0000","69.0652","72.0000","6.0000","45.6180"
"213","1","213","27","27","27","649.0000","11.0000","100.0000","36.0832","30.0000","6.0000","21.3307"
"214","1","214","27","27","27","697.0000","11.0000","74.0000","37.6298","30.0000","4.0000","25.9615"
"215","1","215","27","27","27","208.0000","14.0000","55.0000","38.4968","39.0000","6.0000","22.9565"
"216","1","216","27","27","27","121.0000","8.0000","44.0000","27.6043","21.0000","6.0000","16.0312"
"217","1","217","27","27","27","832.0000","15.0000","100.0000","47.1169","45.0000","6.0000","34.6699"
"218","1","218","27","27","27","832.0000","15.0000","103.0000","50.5569","45.0000","6.0000","31.5436"
